Date,Season,Week,home,visitor,FT,hgoal,vgoal,division,tier,totgoal,goaldiff,result,HT,hgoal_half,vgoal_half,half_totgoal,half_goaldiff,result_half,fans,neutral,home_red_card,visitor_red_card
2015-01-03,2014,16,Fenerbahce,Basaksehir FK,2-0,2,0,T1,1,2,2,H,1-0,1,0,1,1,H,1,0,0,0
2015-01-03,2014,16,Bursaspor,Akhisarspor,3-1,3,1,T1,1,4,2,H,1-0,1,0,1,1,H,1,0,0,0
2015-01-03,2014,16,Caykur Rizespor,Konyaspor,1-1,1,1,T1,1,2,0,D,1-0,1,0,1,1,H,1,0,0,0
2015-01-04,2014,16,Kayseri Erciyesspor,Kasimpasa,2-5,2,5,T1,1,7,-3,A,1-2,1,2,3,-1,A,1,0,0,0
2015-01-04,2014,16,Sivasspor,Kardemir Karabukspor,2-0,2,0,T1,1,2,2,H,1-0,1,0,1,1,H,1,0,0,0
2015-01-04,2014,16,Eskisehirspor,Gaziantepspor,1-3,1,3,T1,1,4,-2,A,0-1,0,1,1,-1,A,1,0,0,0
2015-01-04,2014,16,Besiktas,Galatasaray,0-2,0,2,T1,1,2,-2,A,0-0,0,0,0,0,D,1,0,1,0
2015-01-05,2014,16,Balikesirspor,Trabzonspor,2-2,2,2,T1,1,4,0,D,2-0,2,0,2,2,H,1,0,0,0
2015-01-05,2014,16,Mersin Idmanyurdu,Genclerbirligi,1-1,1,1,T1,1,2,0,D,0-0,0,0,0,0,D,1,0,0,0
2015-01-23,2014,17,Konyaspor,Bursaspor,2-3,2,3,T1,1,5,-1,A,1-2,1,2,3,-1,A,1,0,0,0
2015-01-23,2014,17,Trabzonspor,Sivasspor,3-1,3,1,T1,1,4,2,H,1-1,1,1,2,0,D,1,0,0,0
2015-01-24,2014,17,Kasimpasa,Fenerbahce,0-3,0,3,T1,1,3,-3,A,0-1,0,1,1,-1,A,1,0,0,0
2015-01-24,2014,17,Akhisarspor,Eskisehirspor,2-2,2,2,T1,1,4,0,D,0-1,0,1,1,-1,A,1,0,0,0
2015-01-24,2014,17,Basaksehir FK,Mersin Idmanyurdu,2-2,2,2,T1,1,4,0,D,0-1,0,1,1,-1,A,1,0,0,0
2015-01-24,2014,17,Gaziantepspor,Balikesirspor,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
2015-01-25,2014,17,Kardemir Karabukspor,Kayseri Erciyesspor,1-2,1,2,T1,1,3,-1,A,0-0,0,0,0,0,D,1,0,2,0
2015-01-25,2014,17,Galatasaray,Caykur Rizespor,2-0,2,0,T1,1,2,2,H,2-0,2,0,2,2,H,1,0,0,0
2015-01-26,2014,17,Genclerbirligi,Besiktas,0-2,0,2,T1,1,2,-2,A,0-0,0,0,0,0,D,1,0,0,1
2015-01-30,2014,18,Trabzonspor,Kayseri Erciyesspor,2-1,2,1,T1,1,3,1,H,2-0,2,0,2,2,H,1,0,0,1
2015-01-30,2014,18,Akhisarspor,Balikesirspor,2-2,2,2,T1,1,4,0,D,2-0,2,0,2,2,H,1,0,0,0
2015-01-31,2014,18,Kardemir Karabukspor,Fenerbahce,1-2,1,2,T1,1,3,-1,A,0-1,0,1,1,-1,A,1,0,0,0
2015-01-31,2014,18,Gaziantepspor,Sivasspor,1-3,1,3,T1,1,4,-2,A,1-0,1,0,1,1,H,1,0,1,0
2015-01-31,2014,18,Kasimpasa,Basaksehir FK,0-1,0,1,T1,1,1,-1,A,0-0,0,0,0,0,D,1,0,2,0
2015-02-01,2014,18,Genclerbirligi,Caykur Rizespor,0-2,0,2,T1,1,2,-2,A,0-2,0,2,2,-2,A,1,0,3,0
2015-02-01,2014,18,Konyaspor,Eskisehirspor,1-0,1,0,T1,1,1,1,H,1-0,1,0,1,1,H,1,0,0,0
2015-02-01,2014,18,Besiktas,Mersin Idmanyurdu,2-1,2,1,T1,1,3,1,H,1-0,1,0,1,1,H,1,0,0,0
2015-02-01,2014,18,Galatasaray,Bursaspor,2-2,2,2,T1,1,4,0,D,1-1,1,1,2,0,D,1,0,0,1
2015-02-06,2014,19,Basaksehir FK,Kardemir Karabukspor,2-2,2,2,T1,1,4,0,D,1-1,1,1,2,0,D,1,0,1,0
2015-02-07,2014,19,Sivasspor,Akhisarspor,2-0,2,0,T1,1,2,2,H,0-0,0,0,0,0,D,1,0,0,0
2015-02-07,2014,19,Kayseri Erciyesspor,Gaziantepspor,0-1,0,1,T1,1,1,-1,A,0-0,0,0,0,0,D,1,0,0,0
2015-02-07,2014,19,Fenerbahce,Trabzonspor,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,1,0
2015-02-08,2014,19,Caykur Rizespor,Besiktas,1-2,1,2,T1,1,3,-1,A,0-0,0,0,0,0,D,1,0,2,0
2015-02-08,2014,19,Bursaspor,Genclerbirligi,3-1,3,1,T1,1,4,2,H,0-1,0,1,1,-1,A,1,0,0,0
2015-02-08,2014,19,Balikesirspor,Konyaspor,0-1,0,1,T1,1,1,-1,A,0-0,0,0,0,0,D,1,0,0,0
2015-02-08,2014,19,Mersin Idmanyurdu,Kasimpasa,6-2,6,2,T1,1,8,4,H,1-0,1,0,1,1,H,1,0,0,0
2015-02-09,2014,19,Eskisehirspor,Galatasaray,1-2,1,2,T1,1,3,-1,A,1-1,1,1,2,0,D,1,0,0,0
2015-02-14,2014,20,Kardemir Karabukspor,Kasimpasa,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
2015-02-14,2014,20,Akhisarspor,Kayseri Erciyesspor,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
2015-02-14,2014,20,Gaziantepspor,Fenerbahce,0-5,0,5,T1,1,5,-5,A,0-1,0,1,1,-1,A,1,0,0,0
2015-02-15,2014,20,Trabzonspor,Basaksehir FK,3-2,3,2,T1,1,5,1,H,2-2,2,2,4,0,D,1,0,0,0
2015-02-15,2014,20,Besiktas,Bursaspor,3-2,3,2,T1,1,5,1,H,1-1,1,1,2,0,D,1,0,0,1
2015-02-15,2014,20,Konyaspor,Sivasspor,0-1,0,1,T1,1,1,-1,A,0-0,0,0,0,0,D,1,0,0,0
2015-02-15,2014,20,Caykur Rizespor,Mersin Idmanyurdu,0-4,0,4,T1,1,4,-4,A,0-1,0,1,1,-1,A,1,0,0,0
2015-02-16,2014,20,Genclerbirligi,Eskisehirspor,1-2,1,2,T1,1,3,-1,A,1-1,1,1,2,0,D,1,0,2,0
2015-02-16,2014,20,Galatasaray,Balikesirspor,3-1,3,1,T1,1,4,2,H,3-0,3,0,3,3,H,1,0,0,1
2015-02-20,2014,21,Kayseri Erciyesspor,Konyaspor,3-0,3,0,T1,1,3,3,H,3-0,3,0,3,3,H,1,0,0,0
2015-02-21,2014,21,Basaksehir FK,Gaziantepspor,1-0,1,0,T1,1,1,1,H,1-0,1,0,1,1,H,1,0,0,0
2015-02-21,2014,21,Bursaspor,Caykur Rizespor,1-1,1,1,T1,1,2,0,D,1-0,1,0,1,1,H,1,0,1,0
2015-02-21,2014,21,Sivasspor,Galatasaray,2-3,2,3,T1,1,5,-1,A,1-1,1,1,2,0,D,1,0,0,0
2015-02-22,2014,21,Eskisehirspor,Besiktas,1-0,1,0,T1,1,1,1,H,1-0,1,0,1,1,H,1,0,0,0
2015-02-22,2014,21,Kasimpasa,Trabzonspor,1-1,1,1,T1,1,2,0,D,0-1,0,1,1,-1,A,1,0,0,0
2015-02-22,2014,21,Mersin Idmanyurdu,Kardemir Karabukspor,2-1,2,1,T1,1,3,1,H,1-1,1,1,2,0,D,1,0,0,0
2015-02-22,2014,21,Balikesirspor,Genclerbirligi,0-1,0,1,T1,1,1,-1,A,0-0,0,0,0,0,D,1,0,0,0
2015-02-23,2014,21,Fenerbahce,Akhisarspor,1-2,1,2,T1,1,3,-1,A,1-1,1,1,2,0,D,1,0,0,0
2015-02-27,2014,22,Galatasaray,Kayseri Erciyesspor,3-1,3,1,T1,1,4,2,H,1-1,1,1,2,0,D,1,0,0,0
2015-02-28,2014,22,Genclerbirligi,Sivasspor,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
2015-02-28,2014,22,Caykur Rizespor,Eskisehirspor,3-0,3,0,T1,1,3,3,H,2-0,2,0,2,2,H,1,0,0,1
2015-02-28,2014,22,Konyaspor,Fenerbahce,1-1,1,1,T1,1,2,0,D,1-0,1,0,1,1,H,1,0,0,0
2015-03-01,2014,22,Besiktas,Balikesirspor,2-2,2,2,T1,1,4,0,D,1-0,1,0,1,1,H,1,0,1,0
2015-03-01,2014,22,Gaziantepspor,Kasimpasa,0-2,0,2,T1,1,2,-2,A,0-1,0,1,1,-1,A,1,0,0,1
2015-03-01,2014,22,Akhisarspor,Basaksehir FK,0-2,0,2,T1,1,2,-2,A,0-0,0,0,0,0,D,1,0,0,0
2015-03-01,2014,22,Bursaspor,Mersin Idmanyurdu,2-1,2,1,T1,1,3,1,H,0-1,0,1,1,-1,A,1,0,1,0
2015-03-02,2014,22,Trabzonspor,Kardemir Karabukspor,3-2,3,2,T1,1,5,1,H,1-2,1,2,3,-1,A,1,0,0,0
2015-03-06,2014,23,Kasimpasa,Akhisarspor,2-2,2,2,T1,1,4,0,D,1-0,1,0,1,1,H,1,0,0,0
2015-03-07,2014,23,Kayseri Erciyesspor,Genclerbirligi,2-4,2,4,T1,1,6,-2,A,0-2,0,2,2,-2,A,1,0,1,0
2015-03-07,2014,23,Balikesirspor,Caykur Rizespor,2-2,2,2,T1,1,4,0,D,1-0,1,0,1,1,H,1,0,0,0
2015-03-07,2014,23,Eskisehirspor,Bursaspor,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
2015-03-08,2014,23,Basaksehir FK,Konyaspor,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
2015-03-08,2014,23,Sivasspor,Besiktas,0-1,0,1,T1,1,1,-1,A,0-1,0,1,1,-1,A,1,0,0,0
2015-03-08,2014,23,Kardemir Karabukspor,Gaziantepspor,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
2015-03-08,2014,23,Fenerbahce,Galatasaray,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
2015-03-09,2014,23,Mersin Idmanyurdu,Trabzonspor,1-5,1,5,T1,1,6,-4,A,0-2,0,2,2,-2,A,1,0,0,0
2015-03-13,2014,24,Bursaspor,Balikesirspor,4-2,4,2,T1,1,6,2,H,2-2,2,2,4,0,D,1,0,0,0
2015-03-13,2014,24,Konyaspor,Kasimpasa,2-1,2,1,T1,1,3,1,H,2-1,2,1,3,1,H,1,0,1,0
2015-03-14,2014,24,Caykur Rizespor,Sivasspor,2-1,2,1,T1,1,3,1,H,0-0,0,0,0,0,D,1,0,0,0
2015-03-14,2014,24,Galatasaray,Basaksehir FK,2-2,2,2,T1,1,4,0,D,1-0,1,0,1,1,H,1,0,0,0
2015-03-14,2014,24,Akhisarspor,Kardemir Karabukspor,5-1,5,1,T1,1,6,4,H,2-0,2,0,2,2,H,1,0,0,0
2015-03-15,2014,24,Genclerbirligi,Fenerbahce,2-1,2,1,T1,1,3,1,H,1-0,1,0,1,1,H,1,0,0,0
2015-03-15,2014,24,Besiktas,Kayseri Erciyesspor,5-1,5,1,T1,1,6,4,H,3-0,3,0,3,3,H,1,0,0,0
2015-03-15,2014,24,Eskisehirspor,Mersin Idmanyurdu,2-0,2,0,T1,1,2,2,H,2-0,2,0,2,2,H,1,0,0,0
2015-03-16,2014,24,Gaziantepspor,Trabzonspor,2-0,2,0,T1,1,2,2,H,1-0,1,0,1,1,H,1,0,0,0
2015-03-20,2014,25,Kardemir Karabukspor,Konyaspor,0-1,0,1,T1,1,1,-1,A,0-0,0,0,0,0,D,1,0,0,0
